lat,lng,duration,walkTime,walkDistance,transitTime,transfers
41.94639044,-87.70815578,2164,618,782.8167293,1423,1
41.91437267,-87.62531179,2067,964,1171.761038,1101,0
41.9050923,-87.62504852,1336,356,427.4455865,978,0
41.89509275,-87.61545427,1513,544,679.9407218,967,0
42.02277214,-87.6746156,3370,668,828.1824887,2460,0
42.01843583,-87.66739911,3082,500,615.6726316,2340,0
41.89165712,-87.67028095,1382,344,419.0200226,772,1
41.91444932,-87.68063853,1683,811,1007.486211,630,0
41.91564723,-87.68368108,1726,734,877.1589173,750,0
41.91077397,-87.67945907,1308,436,533.8564361,630,0
41.91180051,-87.6633848,1543,363,449.2434436,926,1
41.91311006,-87.66163949,1598,462,572.5451203,882,1
41.91081404,-87.67075177,1657,785,980.7539398,630,0
41.91226855,-87.66609653,1562,486,600.9922932,857,1
41.89528798,-87.65002602,1347,383,472.1970977,962,0
41.89214439,-87.64891934,876,364,444.8617293,270,0
41.88500537,-87.64627941,1011,376,464.6739323,633,0
41.92206728,-87.6309335,2305,776,925.9818271,1527,0
41.91761764,-87.62932685,1930,818,1005.269391,1110,0
41.90991057,-87.62732419,1534,433,520.2332481,1099,0
41.90934958,-87.62654925,1466,365,436.3860376,1099,0
41.90732237,-87.62634123,1394,335,403.1768346,1057,0
41.89095191,-87.61293912,1133,395,474.1349774,736,0
41.89769903,-87.6175544,1251,582,737.1056616,667,0
42.02185445,-87.67277532,3217,515,642.4658872,2460,0
42.02026528,-87.6710077,3060,358,431.0293459,2460,0
41.91274911,-87.7113639,2370,609,755.4542105,1544,1
42.01250946,-87.69390498,3810,718,915.776,2945,1
41.97723914,-87.6901191,2800,524,653.6800226,2146,1
41.95615267,-87.65299383,1988,486,596.2330301,1260,0
41.95210015,-87.64879515,2292,600,744.951797,1690,0
41.93530836,-87.7119975,1958,576,716.2148947,1140,0
41.89275128,-87.71226964,2158,962,1226.983188,1058,1
41.90930132,-87.71555418,2312,483,597.0732331,1612,1
41.89889012,-87.70929088,2315,501,616.3851504,1548,1
41.90124345,-87.70907629,2206,454,556.4558571,1587,1
41.93962049,-87.69653466,2022,351,425.4892707,1410,1
41.93483245,-87.69556151,2022,465,569.6618571,1296,1
41.91113446,-87.63920595,1414,512,630.5591429,660,0
41.9071651,-87.63556595,1311,649,818.7418872,420,0
41.90278423,-87.6370435,1315,653,809.6756391,420,0
41.89710784,-87.6275339,699,187,224.5703835,270,0
41.89290638,-87.62607871,723,292,357.9527218,429,0
41.8921041,-87.62605615,705,366,451.1495564,337,0
41.88823166,-87.62879032,433,216,258.6973684,215,0
41.88659334,-87.62873683,333,266,326.3399699,65,0
41.88481229,-87.62485159,427,427,531.0799173,0,0
41.88016673,-87.62571148,289,289,357.1056842,0,0
41.88303998,-87.62492269,284,284,353.8753835,0,0
42.01815961,-87.68104963,3418,677,868.368218,2527,1
42.01324624,-87.6830363,3998,1088,1402.828865,2624,1
41.94433066,-87.68121466,2352,409,505.3498045,1687,1
41.94295803,-87.68026072,2155,454,560.5233985,1576,1
41.93888519,-87.6785951,1982,296,348.015015,1428,1
41.88069906,-87.6723325,1646,337,411.2768947,1307,0
41.88805334,-87.65782976,1503,901,1154.511353,360,0
41.88969522,-87.66247783,1171,362,447.631188,603,1
41.89295629,-87.66204462,1349,574,716.0309023,530,1
41.89524411,-87.66162403,1372,770,955.4669398,360,0
41.89925737,-87.66710867,1415,663,830.3099023,510,0
41.90624919,-87.66815563,1316,564,683.326,510,0
41.89296084,-87.656939,1169,567,700.2937368,360,0
41.88618823,-87.65040813,1116,514,635.1277669,360,0
41.82565085,-87.61690281,2079,272,328.2408496,1805,0
41.82229541,-87.60545668,2432,465,563.7908947,1965,0
41.81393859,-87.59754445,2013,616,785.4909474,1395,0
41.88500198,-87.66386449,1312,560,706.7673383,510,0
41.88068462,-87.67073647,1716,407,484.9195188,1307,0
41.88959023,-87.66058678,1166,444,546.9554962,516,1
41.89687826,-87.65973302,1220,618,771.9884361,360,0
41.89197486,-87.65893934,1311,709,881.3925413,360,0
41.82473991,-87.61714636,2181,374,456.0780601,1805,0
41.82324326,-87.61697898,2175,330,403.4778496,1843,0
41.82182637,-87.60837148,2375,408,502.4633083,1965,0
41.8009383,-87.58660539,1901,404,498.6060451,1495,0
41.88636851,-87.65785612,1380,778,983.7638947,360,0
41.88635009,-87.65274682,1072,470,585.7979774,360,0
41.8849464,-87.65241153,1012,410,515.623391,360,0
41.87946529,-87.69780294,2181,386,477.4118271,1793,0
41.87879753,-87.69650979,2120,371,462.2822256,1747,0
41.89210651,-87.67572308,1505,470,578.4784812,889,1
41.88701669,-87.67557476,1675,535,676.4083534,1002,1
41.88754759,-87.67070085,1563,811,1035.970737,510,0
41.86602326,-87.71175274,2069,648,826.8187293,1196,1
41.86615659,-87.70626913,1725,420,520.2314812,1161,1
41.90328892,-87.7644726,2666,595,750.8018496,1838,1
41.90304576,-87.67054799,1252,500,626.634188,510,0
41.90360502,-87.75611165,2535,508,631.1810601,1789,1
41.90302114,-87.74751604,3031,557,690.9977744,2122,1
41.89408703,-87.66316251,1229,514,632.1151128,530,1
41.89596775,-87.66189695,935,280,338.522188,530,1
41.87221527,-87.69453724,1785,582,734.9186015,989,1
41.87130592,-87.69450052,1709,506,634.0198496,989,1
41.87435614,-87.69460402,1708,561,693.8076466,933,1
41.8743789,-87.69214923,1860,808,1015.168105,810,0
41.87405692,-87.68943361,1756,704,873.1653158,810,0
41.87440547,-87.68991251,1788,736,907.3175263,810,0
41.87440015,-87.69038323,1818,766,946.2985263,810,0
41.87273126,-87.68840908,1809,757,941.585188,810,0
41.86635,-87.6799089,1980,306,399.556,1645,1
41.86560007,-87.67744147,2016,342,424.8769624,1645,1
41.89413434,-87.68832918,1932,481,597.1292707,1206,1
41.89549535,-87.68806775,1837,386,472.6982707,1206,1
41.89235467,-87.68551752,1718,459,563.6974812,1113,1
41.88998895,-87.68697711,1697,363,439.9914962,1188,1
41.88932548,-87.68757175,1744,430,517.6784436,1168,1
41.89194507,-87.68489834,1661,402,487.5138571,1113,1
41.89127619,-87.68306253,1583,377,460.0847744,1060,1
41.88276665,-87.68750205,1969,404,499.0346842,1563,0
41.89461149,-87.67824099,1581,466,564.7602406,930,1
41.89222214,-87.66608086,1333,388,473.2250226,679,1
41.89022501,-87.66630927,1344,399,487.3769023,679,1
41.88719471,-87.66458292,1445,693,875.192797,510,0
41.88682523,-87.66225715,1782,747,945.9764962,1033,0
41.89322408,-87.66018449,1418,816,1012.495955,360,0
41.89311135,-87.65774218,1287,685,835.8691654,360,0
41.8916419,-87.65609634,1336,734,909.9065564,360,0
41.99747188,-87.69170704,3489,286,346.2403459,2967,1
41.99498765,-87.69071594,3730,485,591.1152481,3020,1
41.98642231,-87.70508311,3936,623,768.7165338,3024,1
41.98582726,-87.7031904,3933,692,856.2884662,2952,1
41.98547758,-87.69974908,3920,751,930.2669398,2880,1
41.99021697,-87.69513427,3290,263,317.1499699,2738,1
41.98387113,-87.69862531,3932,763,969.7592707,2880,1
41.98333353,-87.70219946,3528,542,667.2336917,2597,2
41.98337605,-87.69370202,3550,813,1006.910601,2535,1
41.9913653,-87.66064525,2571,379,455.8490977,1950,0
41.99120374,-87.65719888,2548,356,437.7666767,1950,0
41.91799839,-87.71435077,2210,556,694.5214812,1454,1
41.91636415,-87.71633901,2219,520,658.050188,1499,1
41.92714728,-87.70978077,1808,576,721.4542256,990,0
41.92948487,-87.71346083,1989,757,926.1156466,990,0
41.92972083,-87.71254528,1939,707,859.3763233,990,0
41.92969526,-87.71438495,2042,810,984.5513684,990,0
41.93261755,-87.71519024,2003,771,971.5804436,990,0
41.92940839,-87.71620884,2188,629,767.6366541,1377,1
41.92938033,-87.72293745,2257,569,704.9424436,1458,1
41.92948268,-87.71903555,2187,646,811.0973609,1311,1
41.93301683,-87.71997041,2020,717,903.5881955,1115,1
41.93439339,-87.71879326,1932,564,692.4205639,1180,1
41.93774432,-87.72119093,1933,410,507.8775639,1275,1
41.93873076,-87.72385799,1975,460,562.9542707,1327,1
41.94185177,-87.72512779,2145,518,637.2780301,1439,1
41.94072538,-87.72417644,2028,446,544.5594962,1394,1
41.94030647,-87.72202235,2045,538,662.8423158,1354,1
41.94161194,-87.71598531,2144,762,947.0071504,1140,0
41.94191195,-87.72023721,2108,641,799.288812,1314,1
41.94368869,-87.72395672,2270,718,899.2349549,1394,1
41.94367239,-87.7251792,2224,672,848.3750376,1394,1
41.94528458,-87.72369751,2226,718,907.1062331,1377,1
41.94955333,-87.72104429,1945,443,553.1328647,1260,0
41.94743993,-87.71549663,2092,590,738.8014812,1260,0
41.95114636,-87.71130159,2228,464,570.3452331,1508,1
41.94934805,-87.70942374,2381,617,771.231609,1508,1
41.94684753,-87.70690896,2185,606,768.0599398,1456,1
41.77409786,-87.72295018,3930,645,817.8818346,2925,1
41.78136089,-87.72497055,3444,699,883.289391,2462,1
41.78076205,-87.71913781,3449,809,1032.162429,2357,1
41.77947941,-87.71430651,3224,374,458.0126767,2668,1
41.78580409,-87.71682358,2926,325,406.7003835,2318,1
41.78489477,-87.71679971,3030,429,532.0864286,2318,1
41.78394564,-87.71922699,3181,541,679.2174286,2357,1
41.78320133,-87.72319249,3269,554,689.5496391,2432,1
41.7847828,-87.72384959,3134,419,512.7338872,2432,1
41.78477863,-87.72446134,3138,423,527.742594,2432,1
41.784747,-87.72812529,3143,366,452.8247218,2494,1
41.78658175,-87.7266484,3133,388,478.4676767,2462,1
41.78936671,-87.72182812,3298,620,779.6933007,2395,1
41.79024236,-87.7246115,3514,629,794.0394286,2544,1
41.7911572,-87.72433383,3464,579,717.6150977,2544,1
41.78853248,-87.7361937,2723,1011,1276.747602,1470,0
41.78998581,-87.7276669,3541,620,777.6831353,2580,1
41.79296621,-87.72408222,3262,377,470.217218,2544,1
41.79440161,-87.72043779,3259,442,542.7397594,2476,1
41.79539433,-87.71525345,3272,539,674.8994286,2392,1
41.78638621,-87.70886528,3088,1066,1357.18888,1654,1
41.7872803,-87.70981566,2818,1149,1476.744669,1530,1
41.7888727,-87.70986181,3075,1171,1503.988045,1536,1
41.78888349,-87.70924983,3035,1131,1451.151045,1536,1
41.7818013,-87.71166562,3222,706,892.0091955,2233,1
41.7853218,-87.70423235,2493,786,998.3376692,1568,1
41.78639891,-87.70672538,2634,927,1175.722632,1568,1
41.79076607,-87.70500939,2396,819,1042.140669,1438,1
41.79072917,-87.70746543,2591,1014,1296.951669,1438,1
41.79087059,-87.69890555,2588,1011,1295.673917,1438,1
41.74429517,-87.64293833,2829,817,1040.688053,1712,1
41.74954659,-87.64339826,2461,359,435.7740526,1706,1
41.73874348,-87.63792664,2476,527,656.7375113,1639,1
41.73731941,-87.63970101,2359,410,501.2415113,1639,1
41.72410524,-87.65088512,2794,458,557.9544511,1953,1
41.72592959,-87.65093413,2851,618,768.7145188,2023,1
41.72243583,-87.6569299,2689,332,406.572594,2147,1
41.72249388,-87.65267155,2755,419,514.3354436,1953,1
41.72250238,-87.65206339,2722,386,462.1817293,1953,1
41.722308,-87.65067316,2519,256,306.9349549,2023,1
41.72109503,-87.65214696,2494,231,279.7193835,2023,1
41.7239926,-87.65939893,2852,406,504.9158421,2236,1
41.72422623,-87.64116506,2511,450,551.4045113,1821,1
41.72059539,-87.63985335,2339,278,336.631218,1821,1
41.72247034,-87.63626875,2217,248,298.7668421,1729,1
41.71874824,-87.64223153,2474,388,483.0204662,1846,1
41.7190676,-87.6348941,2392,460,569.4708045,1692,1
41.7177032,-87.63516527,2523,554,697.0110526,1729,1
41.71959141,-87.63262625,2318,439,542.4139323,1639,1
41.70986434,-87.62627923,2744,747,951.7400526,1758,1
41.71114175,-87.63399723,3176,691,879.7519699,2110,1
41.71106149,-87.62176631,2337,400,499.898594,1758,1
41.70831961,-87.62236098,2447,474,585.3927519,1794,1
41.70787939,-87.62137625,2410,413,504.584391,1818,1
41.70733869,-87.62772278,2535,380,478.5413835,2020,1
41.70822804,-87.63043893,2929,490,607.5157594,2064,1
41.70587495,-87.63486013,3037,509,641.7387218,2153,1
41.70585794,-87.63643173,3054,526,659.5479323,2153,1
41.70494821,-87.63702064,3162,589,737.7216316,2198,1
41.70683842,-87.6312902,2871,432,532.5547594,2064,1
41.66029568,-87.54864287,5360,268,321.7956015,4941,1
41.65802776,-87.5559372,5553,413,523.6229323,4989,1
41.65643868,-87.5535048,5419,279,347.2779323,4989,1
41.6580188,-87.55349861,5399,259,320.6339323,4989,1
41.98448697,-87.74903394,3020,793,1012.471143,1979,1
41.92565356,-87.7264945,2512,673,847.030609,1606,1
41.89375588,-87.74543485,2768,394,480.2970226,2219,1
41.90872903,-87.72616635,2396,510,634.2596842,1697,1
41.90610355,-87.72487484,2474,381,462.6989549,1947,1
41.90292486,-87.72326209,2474,323,394.4359398,1986,1
41.94417932,-87.6737646,2182,434,539.571594,1492,1
41.94078553,-87.67230666,1755,334,406.1976767,1283,1
41.91128967,-87.65160186,1202,360,431.3681804,600,0
41.90089575,-87.64829228,1309,442,550.2815639,584,1
41.90014971,-87.64897257,1310,443,533.8766541,584,1
41.894503,-87.64608749,1415,337,422.2273835,807,1
41.88380744,-87.64051867,776,319,357.5747744,455,0
41.96537785,-87.68608661,2989,857,1050.26091,1890,0
41.96846236,-87.68322381,2538,194,230.4371353,2112,1
41.92854008,-87.70303711,1873,641,796.3908421,990,0
41.94949402,-87.68651516,2455,515,637.4254812,1713,1
41.9387162,-87.68661362,1933,460,568.0456316,1312,1
41.93197379,-87.68615376,1804,463,574.5466466,1150,1
41.91918504,-87.6421835,1535,349,430.264594,1064,1
41.91430372,-87.64091144,1738,836,1044.625586,660,0
41.91109705,-87.64162778,1530,688,864.8501729,600,0
41.90827298,-87.63911037,1697,598,757.7443459,1097,0
41.90011948,-87.6365814,1351,619,786.4280226,730,0
41.89858249,-87.63501638,1233,721,910.6990526,270,0
41.95554276,-87.67849251,2470,390,486.3041353,1807,1
41.9510325,-87.67536924,2413,590,728.6603684,1567,1
41.91703119,-87.6677913,1555,396,482.8370752,865,1
41.98436998,-87.69523491,3799,765,958.2122481,2809,1
